 SPIRAL: LC3f1921 - inner=1123, iron=8423, outer=1921 - rep 3                 DATE: 09/12/2006     TIME: 15:19:24.0

 INPUT SUMMARY:
 1        0    1    2
  37181  1 91  3  1
        .00      1.00       .00      2.00      1.00  .01  .01
   1123.0  5615.0  1921.0 11526.0  8423.0      .0      .0      .0      .0


 SUMMARY OF TOTAL MAGNETIC INDUCTION   (R IN CYCLOTRON UNITS, B IN GAUSS)

     R       .0 DEG    2.0 DEG    4.0 DEG    6.0 DEG    8.0 DEG   10.0 DEG   12.0 DEG   14.0 DEG   16.0 DEG   18.0 DEG
   15.00      -.179      -.213      -.254      -.303      -.359      -.426      -.502      -.590      -.690      -.803
   16.00      -.024      -.051      -.084      -.125      -.175      -.237      -.310      -.396      -.498      -.616
   17.00       .144       .129       .107       .076       .036      -.016      -.082      -.163      -.261      -.380
   18.00       .324       .323       .315       .300       .274       .236       .183       .113       .023      -.090
   19.00       .514       .530       .540       .543       .537       .518       .485       .433       .358       .257
   20.00       .709       .745       .777       .803       .822       .829       .821       .795       .746       .667
   21.00       .908       .967      1.024      1.077      1.125      1.164      1.191      1.200      1.186      1.141
   22.00      1.107      1.191      1.276      1.361      1.443      1.521      1.589      1.643      1.676      1.680
   23.00      1.303      1.413      1.529      1.648      1.770      1.892      2.011      2.120      2.214      2.281
   24.00      1.492      1.630      1.777      1.934      2.100      2.272      2.448      2.623      2.790      2.940
   25.00      1.671      1.837      2.018      2.214      2.426      2.652      2.892      3.142      3.396      3.646
   26.00      1.837      2.031      2.245      2.481      2.740      3.024      3.333      3.665      4.018      4.386
   27.00      1.988      2.208      2.454      2.730      3.037      3.379      3.759      4.179      4.640      5.139
   28.00      2.121      2.366      2.643      2.955      3.309      3.708      4.160      4.670      5.243      5.885
   29.00      2.235      2.503      2.807      3.154      3.550      4.004      4.524      5.122      5.808      6.596
   30.00      2.330      2.617      2.945      3.322      3.757      4.260      4.843      5.523      6.317      7.247
   31.00      2.405      2.707      3.055      3.458      3.925      4.470      5.109      5.861      6.752      7.813
   32.00      2.459      2.774      3.137      3.560      4.053      4.632      5.315      6.128      7.100      8.274
   33.00      2.494      2.817      3.192      3.628      4.140      4.744      5.460      6.318      7.352      8.613
   34.00      2.510      2.838      3.219      3.664      4.187      4.806      5.544      6.430      7.505      8.823
   35.00      2.509      2.838      3.221      3.669      4.196      4.821      5.567      6.466      7.560      8.904
   36.00      2.493      2.820      3.201      3.646      4.171      4.793      5.536      6.431      7.521      8.863

     R    160.0 DEG  162.0 DEG  164.0 DEG  166.0 DEG  168.0 DEG  170.0 DEG  172.0 DEG  174.0 DEG  176.0 DEG  178.0 DEG
     .00      -.489      -.489      -.489      -.489      -.489      -.489      -.489      -.489      -.489      -.489
    1.00      -.588      -.590      -.591      -.592      -.593      -.594      -.595      -.596      -.596      -.597
    2.00      -.687      -.691      -.695      -.698      -.702      -.704      -.707      -.709      -.711      -.713
    3.00      -.784      -.792      -.799      -.806      -.812      -.818      -.824      -.829      -.833      -.837
    4.00      -.877      -.890      -.901      -.913      -.924      -.934      -.944      -.953      -.961      -.968
    5.00      -.965      -.983     -1.001     -1.018     -1.035     -1.051     -1.067     -1.081     -1.095     -1.107
    6.00     -1.045     -1.070     -1.096     -1.121     -1.145     -1.168     -1.191     -1.213     -1.233     -1.252
