 -----------------------------------------------------------------------------------------------------------------
 : JBACCEL : v.052107              PARAMETER SET: D45wlc0  -  User Guide Example                 DATE:04/26/2019 :
 : ORIC ACCELERATION PROGRAM                                                                     TIME:10:02:01.0 :
 -----------------------------------------------------------------------------------------------------------------

   2H   1+    ENERGY=  45.00    MASS=   1875.58    INJECTION ENERGY=    .000                              04/26/19
                                                                                                          10:01:39
 EXTRACTION RADIUS= 31.140   FREQUENCY=13.04000 MHZ   DEE VOLTAGE= 60.0 KV   PHI0= 30.00 DEG   HARMONIC=1

 ORBIT   RADIUS      BETA-R    ENERGY     PHASE    PERIOD    R-CEN   THET-CEN    AVRAD    DAVRAD    DRAD   RAD/rtE
   92    13.807  -.3237E-02     9.105   -22.645   1.00084     .026    201.90    14.162     .0852    .084    4.5757
   93    13.891  -.3283E-02     9.216   -22.336   1.00084     .027    198.04    14.246     .0849    .084    4.5758
   94    13.975  -.3334E-02     9.327   -22.029   1.00085     .027    194.37    14.331     .0847    .084    4.5760
   95    14.059  -.3385E-02     9.438   -21.720   1.00085     .028    190.48    14.415     .0843    .084    4.5763
   96    14.143  -.3439E-02     9.550   -21.410   1.00086     .029    186.73    14.499     .0840    .084    4.5766
   97    14.227  -.3496E-02     9.662   -21.099   1.00087     .029    182.97    14.583     .0837    .084    4.5770
   98    14.311  -.3557E-02     9.774   -20.786   1.00087     .030    179.22    14.666     .0833    .084    4.5774
   99    14.394  -.3621E-02     9.887   -20.473   1.00088     .031    175.53    14.750     .0831    .084    4.5779
  100    14.478  -.3687E-02     9.999   -20.158   1.00089     .031    172.01    14.832     .0827    .083    4.5785
  101    14.561  -.3756E-02    10.112   -19.842   1.00090     .032    168.57    14.915     .0825    .083    4.5789
  102    14.644  -.3828E-02    10.225   -19.522   1.00092     .032    165.14    14.997     .0822    .083    4.5794
  103    14.726  -.3904E-02    10.339   -19.200   1.00093     .032    161.84    15.079     .0818    .083    4.5800
  104    14.808  -.3982E-02    10.452   -18.875   1.00094     .033    158.69    15.160     .0816    .082    4.5804
  105    14.890  -.4063E-02    10.566   -18.546   1.00095     .033    155.60    15.242     .0812    .082    4.5808
  106    14.971  -.4146E-02    10.680   -18.216   1.00096     .033    152.84    15.323     .0810    .081    4.5812
  107    15.052  -.4230E-02    10.794   -17.881   1.00097     .033    150.26    15.403     .0807    .081    4.5814
  108    15.132  -.4315E-02    10.909   -17.543   1.00098     .033    147.54    15.484     .0804    .080    4.5816
  109    15.212  -.4402E-02    11.023   -17.202   1.00099     .033    144.88    15.564     .0800    .080    4.5818
  110    15.291  -.4492E-02    11.138   -16.859   1.00099     .033    142.52    15.643     .0797    .079    4.5819
  111    15.370  -.4580E-02    11.253   -16.516   1.00099     .033    140.32    15.723     .0794    .079    4.5818
  112    15.448  -.4669E-02    11.368   -16.172   1.00100     .032    138.35    15.802     .0792    .078    4.5817
  113    15.525  -.4759E-02    11.484   -15.827   1.00099     .032    136.68    15.881     .0788    .077    4.5814
  114    15.602  -.4847E-02    11.599   -15.482   1.00099     .031    135.25    15.959     .0786    .077    4.5810
  115    15.678  -.4935E-02    11.715   -15.136   1.00099     .030    134.29    16.038     .0783    .076    4.5805
  116    15.753  -.5020E-02    11.831   -14.789   1.00099     .030    133.61    16.116     .0780    .075    4.5799
  117    15.828  -.5103E-02    11.947   -14.442   1.00099     .029    133.38    16.193     .0777    .075    4.5792
  118    15.902  -.5184E-02    12.064   -14.094   1.00099     .028    133.75    16.271     .0774    .074    4.5784
  119    15.976  -.5259E-02    12.180   -13.746   1.00098     .027    134.63    16.348     .0771    .074    4.5775
  120    16.049  -.5332E-02    12.297   -13.398   1.00099     .027    135.74    16.425     .0770    .073    4.5766
  121    16.122  -.5404E-02    12.414   -13.048   1.00098     .026    137.26    16.501     .0765    .073    4.5757
  122    16.194  -.5472E-02    12.531   -12.699   1.00097     .026    139.00    16.578     .0763    .072    4.5747
  123    16.267  -.5538E-02    12.648   -12.351   1.00096     .026    141.10    16.654     .0760    .072    4.5738
  124    16.339  -.5599E-02    12.766   -12.005   1.00095     .026    143.39    16.729     .0757    .072    4.5729
  125    16.411  -.5657E-02    12.883   -11.659   1.00095     .027    145.71    16.805     .0755    .072    4.5721
  126    16.483  -.5712E-02    13.001   -11.315   1.00094     .027    148.10    16.880     .0752    .072    4.5713
  127    16.554  -.5764E-02    13.119   -10.971   1.00094     .028    150.01    16.955     .0750    .072    4.5706
  128    16.627  -.5817E-02    13.237   -10.628   1.00093     .030    151.54    17.030     .0747    .072    4.5700
  129    16.699  -.5869E-02    13.355   -10.286   1.00093     .031    152.73    17.104     .0745    .072    4.5695
  130    16.771  -.5920E-02    13.473    -9.944   1.00093     .033    153.46    17.179     .0742    .072    4.5691
  131    16.843  -.5972E-02    13.591    -9.603   1.00093     .034    153.80    17.253     .0740    .072    4.5688
  132    16.916  -.6026E-02    13.710    -9.263   1.00093     .036    153.58    17.326     .0737    .073    4.5686
  133    16.989  -.6082E-02    13.828    -8.923   1.00092     .038    152.84    17.400     .0734    .073    4.5687
  134    17.062  -.6142E-02    13.947    -8.585   1.00093     .040    151.83    17.473     .0732    .073    4.5688
  135    17.136  -.6205E-02    14.066    -8.249   1.00093     .041    150.49    17.546     .0730    .074    4.5691
  136    17.210  -.6273E-02    14.185    -7.913   1.00093     .043    148.92    17.619     .0727    .074    4.5694
  137    17.283  -.6345E-02    14.303    -7.579   1.00093     .044    147.24    17.691     .0725    .074    4.5699
  138    17.357  -.6421E-02    14.423    -7.246   1.00093     .046    145.50    17.763     .0722    .073    4.5703
  139    17.430  -.6501E-02    14.542    -6.915   1.00092     .047    143.62    17.835     .0719    .073    4.5708
  140    17.503  -.6584E-02    14.661    -6.586   1.00092     .048    141.77    17.907     .0717    .073    4.5713
  141    17.576  -.6671E-02    14.780    -6.259   1.00092     .048    139.88    17.978     .0714    .073    4.5717
  142    17.648  -.6762E-02    14.899    -5.934   1.00093     .049    138.05    18.050     .0712    .072    4.5721
  143    17.720  -.6856E-02    15.019    -5.610   1.00092     .049    136.25    18.120     .0709    .072    4.5724
  144    17.791  -.6951E-02    15.138    -5.288   1.00092     .049    134.55    18.191     .0706    .071    4.5726
  145    17.862  -.7047E-02    15.258    -4.969   1.00091     .049    133.02    18.261     .0704    .071    4.5728
  146    17.932  -.7143E-02    15.378    -4.651   1.00091     .049    131.59    18.331     .0701    .070    4.5728
  147    18.001  -.7241E-02    15.497    -4.335   1.00090     .048    130.17    18.401     .0698    .069    4.5727
  148    18.070  -.7339E-02    15.617    -4.022   1.00090     .048    129.09    18.471     .0695    .069    4.5725
  149    18.138  -.7434E-02    15.737    -3.711   1.00089     .047    128.28    18.540     .0693    .068    4.5722
  150    18.205  -.7527E-02    15.856    -3.403   1.00088     .046    127.86    18.609     .0690    .067    4.5717
  151    18.271  -.7617E-02    15.976    -3.097   1.00087     .045    127.66    18.678     .0687    .066    4.5711
  152    18.336  -.7702E-02    16.096    -2.795   1.00086     .044    127.84    18.746     .0685    .066    4.5704
  153    18.402  -.7783E-02    16.216    -2.495   1.00084     .043    128.45    18.814     .0682    .065    4.5697
  154    18.466  -.7859E-02    16.336    -2.199   1.00083     .042    129.43    18.882     .0679    .065    4.5688
  155    18.531  -.7932E-02    16.456    -1.906   1.00081     .042    130.63    18.950     .0676    .064    4.5680
  156    18.595  -.8001E-02    16.576    -1.619   1.00080     .041    132.12    19.017     .0674    .064    4.5673
  157    18.659  -.8066E-02    16.696    -1.338   1.00079     .041    133.83    19.085     .0672    .064    4.5665
  158    18.723  -.8128E-02    16.816    -1.063   1.00077     .041    135.69    19.151     .0669    .064    4.5657
  159    18.787  -.8186E-02    16.936     -.800   1.00076     .042    137.32    19.218     .0666    .064    4.5651
  160    18.851  -.8245E-02    17.056     -.559   1.00074     .043    138.66    19.284     .0664    .064    4.5646
  161    18.915  -.8305E-02    17.176     -.373   1.00073     .044    139.72    19.351     .0661    .065    4.5642
  162    18.980  -.8365E-02    17.296      .337   1.00071     .045    140.31    19.416     .0659    .065    4.5639
  163    19.046  -.8428E-02    17.416      .477   1.00069     .046    140.52    19.482     .0656    .065    4.5638
  164    19.111  -.8493E-02    17.536      .685   1.00068     .048    140.52    19.548     .0655    .065    4.5638
  165    19.177  -.8562E-02    17.656      .913   1.00066     .049    140.12    19.613     .0651    .066    4.5639
  166    19.243  -.8633E-02    17.776     1.143   1.00065     .050    139.41    19.678     .0650    .066    4.5641
  167    19.309  -.8712E-02    17.896     1.371   1.00063     .052    138.40    19.742     .0646    .066    4.5643
  168    19.375  -.8795E-02    18.016     1.594   1.00061     .053    137.22    19.807     .0644    .066    4.5647
  169    19.440  -.8883E-02    18.136     1.809   1.00059     .053    135.93    19.871     .0641    .066    4.5650
  170    19.506  -.8975E-02    18.255     2.017   1.00057     .054    134.62    19.935     .0639    .065    4.5653
  171    19.570  -.9071E-02    18.375     2.217   1.00055     .054    133.22    19.998     .0636    .065    4.5654
  172    19.635  -.9169E-02    18.495     2.406   1.00052     .054    131.91    20.062     .0634    .064    4.5656
  173    19.698  -.9269E-02    18.615     2.587   1.00049     .053    130.68    20.125     .0631    .064    4.5656
  174    19.761  -.9369E-02    18.735     2.757   1.00046     .053    129.58    20.188     .0628    .063    4.5654
  175    19.823  -.9469E-02    18.855     2.916   1.00044     .052    128.73    20.250     .0627    .062    4.5652
  176    19.884  -.9567E-02    18.975     3.066   1.00040     .051    128.14    20.312     .0623    .061    4.5648
  177    19.945  -.9661E-02    19.094     3.204   1.00037     .050    127.96    20.375     .0621    .060    4.5643
  178    20.004  -.9751E-02    19.214     3.331   1.00033     .048    128.23    20.436     .0618    .060    4.5636
  179    20.063  -.9835E-02    19.334     3.447   1.00030     .047    128.98    20.498     .0617    .059    4.5628
  180    20.121  -.9914E-02    19.454     3.553   1.00026     .046    130.34    20.559     .0614    .058    4.5620
